"Unit.Name","State.x","Total","State.y","Latitude","Longitude","distance","distance_miles"
"Grand Canyon National Park","AZ",205486894,"AZ",36.1069,-112.1129,1166890.15547475,725.073729277063
"Grand Teton National Park","WY",147898402,"WY",43.7904,-110.6818,329182.81603132,204.545227255471
